,_id,name,chemical_formula,description,status,average_mw,monoisotopic_mw,state,sources,inchikey
0,HMDB0000011,3-hydroxybutyric acid,C4H8O3,"3-Hydroxybutyric acid (CAS: 300-85-6), also known as beta-hydroxybutanoic acid, is a typical partial-degradation product of branched-chain amino acids (primarily valine) released from muscle for hepatic and renal gluconeogenesis. This acid is metabolized by 3-hydroxybutyrate dehydrogenase (catalyzes the oxidation of 3-hydroxybutyrate to form acetoacetate, using NAD+ as an electron acceptor). The enzyme functions in nervous tissues and muscles, enabling the use of circulating hydroxybutyrate as a fuel. In the liver mitochondrial matrix, the enzyme can also catalyze the reverse reaction, a step in ketogenesis. 3-Hydroxybutyric acid is a chiral compound having two enantiomers, D-3-hydroxybutyric acid and L-3-hydroxybutyric acid, and is a ketone body. Like the other ketone bodies (acetoacetate and acetone), levels of 3-hydroxybutyrate in blood and urine are raised in ketosis. In humans, 3-hydroxybutyrate is synthesized in the liver from acetyl-CoA and can be used as an energy source by the brain when blood glucose is low. Blood levels of 3-hydroxybutyric acid levels may be monitored in diabetic patients to look for diabetic ketoacidosis. Persistent mild hyperketonemia is a common finding in newborns. Ketone bodies serve as an indispensable source of energy for extrahepatic tissues, especially the brain and lung of developing mammals. Another important function of ketone bodies is to provide acetoacetyl-CoA and acetyl-CoA for the synthesis of cholesterol, fatty acids, and complex lipids. During the early postnatal period, acetoacetate (AcAc) and beta-hydroxybutyrate are preferred over glucose as substrates for the synthesis of phospholipids and sphingolipids in accord with requirements for brain growth and myelination. Thus, during the first two weeks of postnatal development, when the accumulation of cholesterol and phospholipids accelerates, the proportion of ketone bodies incorporated into these lipids increases. On the other hand, an increased proportion of ketone bodies is utilized for cerebroside synthesis during the period of active myelination. In the lung, AcAc serves better than glucose as a precursor for the synthesis of lung phospholipids. The synthesized lipids, particularly dipalmitoylphosphatidylcholine, are incorporated into surfactant, and thus have a potential role in supplying adequate surfactant lipids to maintain lung function during the early days of life (PMID: 3884391). 3-Hydroxybutyric acid is found to be associated with fumarase deficiency and medium-chain acyl-CoA dehydrogenase deficiency, which are inborn errors of metabolism. 3-Hydroxybutyric acid is a metabolite of Alcaligenes and can be produced from plastic metabolization or incorporated into polymers, depending on the species (PMID: 7646009, 18615882).",quantified,104.1045,104.047344122,solid,"['blood', 'cellular cytoplasm', 'cerebrospinal fluid (csf)', 'feces', 'saliva', 'urine']",WHBMMWSBFZVSSR-GSVOUGTGSA-N
1,HMDB0000020,p-hydroxyphenylacetic acid,C8H8O3,"p-Hydroxyphenylacetic acid, also known as 4-hydroxybenzeneacetate, is classified as a member of the 1-hydroxy-2-unsubstituted benzenoids. 1-Hydroxy-2-unsubstituted benzenoids are phenols that are unsubstituted at the 2-position. p-Hydroxyphenylacetic acid is considered to be slightly soluble (in water) and acidic.  p-Hydroxyphenylacetic acid can be synthesized from acetic acid. It is also a parent compound for other transformation products, including but not limited to, methyl 2-(4-hydroxyphenyl)acetate, ixerochinolide, and lactucopicrin 15-oxalate.  p-Hydroxyphenylacetic acid can be found in numerous foods such as olives, cocoa beans, oats, and mushrooms. p-Hydroxyphenylacetic acid can be found throughout all human tissues and in all biofluids. Within a cell, p-hydroxyphenylacetic acid is primarily located in the cytoplasm and in the extracellular space. p-Hydroxyphenylacetic acid is also a microbial metabolite produced by Acinetobacter, Clostridium, Klebsiella, Pseudomonas, and Proteus. Higher levels of this metabolite are associated with an overgrowth of small intestinal bacteria from Clostridia species including C. difficile, C. stricklandii, C. lituseburense, C. subterminale, C. putrefaciens, and C. propionicum (PMID: 476929, 12173102). p-Hydroxyphenylacetic acid is detected after the consumption of whole grain.",quantified,152.1473,152.047344122,solid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'saliva', 'urine']",XQXPVVBIMDBYFF-UHFFFAOYSA-N
2,HMDB0000039,butyric acid,C4H8O2,"Butyric acid is a short-chain fatty acid (SCFA) formed in the mammalian colon by bacterial fermentation of carbohydrates (including dietary fibre). It is a straight-chain alkyl carboxylic acid that appears as an oily, colorless liquid with an unpleasant (rancid butter) odor. The name butyric acid comes from the Greek word for ""butter"", the substance in which it was first found. Triglycerides of butyric acid constitute 3‚Äì4% of butter. When butter goes rancid, butyric acid is liberated from the short-chain triglycerides via hydrolysis. Butyric acid is a widely distributed SCFA and is found in all organisms ranging from bacteria to plants to animals. It is present in animal fat and plant oils, bovine milk, breast milk, butter, parmesan cheese, body odor and vomit. While butyric acid has an unpleasant odor, it does have a pleasant buttery taste. As a result, butyric acid is used as a flavoring agent in food manufacturing. Low-molecular-weight esters of butyric acid, such as methyl butyrate, also have very pleasant aromas or tastes. As a result, several butyrate esters are used as food and perfume additives. Butyrate is naturally produced by fermentation processes performed by obligate anaerobic bacteria found in the mammalian gut. It is a metabolite of several bacterial genera including Anaerostipes, Coprococcus, Eubacterium, Faecalibacterium and Roseburia (PMID: 12324374; PMID: 27446020). Highly-fermentable fiber residues, such as those from resistant starch, oat bran, pectin, and guar can be transformed by colonic bacteria into butyrate. One study found that resistant starch consistently produces more butyrate than other types of dietary fibre (PMID: 14747692). The production of butyrate from fibres in ruminant animals such as cattle is responsible for the butyrate content of milk and butter. Butyrate has a number of important biological functions and binds to several specific receptors. In humans, butyric acid is one of two primary endogenous agonists of human hydroxycarboxylic acid receptor 2 (HCA2), a G protein-coupled receptor. Like other SCFAs, butyrate is also an agonist at the free fatty acid receptors FFAR2 and FFAR3, which function as nutrient sensors that facilitate the homeostatic control of energy balance. Butyrate is essential to host immune homeostasis (PMID: 25875123). Butyrate's effects on the immune system are mediated through the inhibition of class I histone deacetylases (specifically, HDAC1, HDAC2, HDAC3, and HDAC8) and activation of its G-protein coupled receptor targets including HCA2, FFAR2 and FFAR3. Among the short-chain fatty acids, butyrate is the most potent promoter of intestinal regulatory T cells in vitro and the only SCFA that is an HCA2 ligand (PMID: 25741338). Butyrate has been shown to be a critical mediator of the colonic inflammatory response. It possesses both preventive and therapeutic potential to counteract inflammation-mediated ulcerative colitis and colorectal cancer. As a short-chain fatty acid, butyrate is metabolized by mitochondria as an energy source through fatty acid metabolism. In particular, it is an important energy source for cells lining the mammalian colon (colonocytes). Without butyrate, colon cells undergo autophagy (i.e., self-digestion) and die.",quantified,88.1051,88.0524295,liquid,"['blood', 'breast milk', 'breath', 'cerebrospinal fluid (csf)', 'feces', 'saliva', 'urine']",FERIUCNNQQJTOY-UHFFFAOYSA-N
3,HMDB0000042,acetic acid,C2H4O2,"Acetic acid is a two-carbon, straight-chain fatty acid. It is the smallest short-chain fatty acid (SCFA) and one of the simplest carboxylic acids. is an acidic, colourless liquid and is the main component in vinegar. Acetic acid has a sour taste and pungent smell. It is an important chemical reagent and industrial chemical that is used in the production of plastic soft drink bottles, photographic film; and polyvinyl acetate for wood glue, as well as many synthetic fibres and fabrics. In households diluted acetic acid is often used as a cleaning agent. In the food industry acetic acid is used as an acidity regulator. Acetic acid is found in all organisms, from bacteria to plants to humans. The acetyl group, derived from acetic acid, is fundamental to the biochemistry of virtually all forms of life. When bound to coenzyme A (to form acetylCoA) it is central to the metabolism of carbohydrates and fats. However, the concentration of free acetic acid in cells is kept at a low level to avoid disrupting the control of the pH of the cell contents. Acetic acid is produced and excreted in large amounts by certain acetic acid bacteria, notably the Acetobacter genus and Clostridium acetobutylicum. These bacteria are found universally in foodstuffs, water, and soil. Due to their widespread presence on fruit, acetic acid is produced naturally as fruits and many other sugar-rich foods spoil. Several species of anaerobic bacteria, including members of the genus Clostridium and Acetobacterium can convert sugars to acetic acid directly. However, Clostridium bacteria are less acid-tolerant than Acetobacter. Even the most acid-tolerant Clostridium strains can produce acetic acid in concentrations of only a few per cent, compared to Acetobacter strains that can produce acetic acid in concentrations up to 20%. Acetic acid is also a component of the vaginal lubrication of humans and other primates, where it appears to serve as a mild antibacterial agent. Acetic acid can be found in other biofluids such as urine at low concentrations. Urinary acetic acid is produced by bacteria such as Escherichia coli, Pseudomonas aeruginosa, Klebsiella pneumonia, Enterobacter, Acinetobacter, Proteus mirabilis, Citrobacter frundii, Enterococcus faecalis, Streptococcus group B, Staphylococcus saprophyticus (PMID: 22292465). Acetic acid concentrations greater than 30 uM/mM creatinine in the urine can indicate a urinary tract infection, which typically suggests the presence of E. coli or Klebshiella pneumonia in the urinary tract. (PMID: 24909875) Acetic acid is also produced by other bacteria such as Akkermansia, Bacteroidetes, Bifidobacterium, Prevotella and Ruminococcus (PMID: 20444704; PMID: 22292465).",quantified,60.052,60.021129372,liquid,"['blood', 'breast milk', 'breath', 'cerebrospinal fluid (csf)', 'feces', 'saliva', 'urine']",QTBSBXVTEAMEQO-UHFFFAOYSA-N
4,HMDB0000044,ascorbic acid,C6H8O6,"Ascorbic acid is found naturally in citrus fruits and many vegetables and is an essential nutrient in human diets. It is necessary to maintain connective tissue and bone. The biologically active form of ascorbic acid is vitamin C. Vitamin C is a water soluble vitamin. Primates (including humans) and a few other species in all divisions of the animal kingdom, notably the guinea pig, have lost the ability to synthesize ascorbic acid and must obtain it in their food. Vitamin C functions as a reducing agent and coenzyme in several metabolic pathways. Vitamin C is considered an antioxidant (PubChem). Ascorbic acid is an electron donor for enzymes involved in collagen hydroxylation, biosynthesis of carnitine and norepinephrine, tyrosine metabolism, and amidation of peptide hormones. Ascrobic acid (vitamin C) deficiency causes scurvy. The amount of vitamin C necessary to prevent scurvy may not be adequate to maintain optimal health. The ability of vitamin C to donate electrons also makes it a potent water-soluble antioxidant that readily scavenges free radicals such as molecular oxygen, superoxide, hydroxyl radical, and hypochlorous acid. In this setting, several mechanisms could account for a link between vitamin C and heart disease. One is the relation between LDL oxidation and vitamins C and E. Vitamin C in vitro can recycle vitamin E, which can donate electrons to prevent LDL oxidation in vitro. As the lipid-phase vitamin E is oxidized, it can be regenerated by aqueous vitamin C. Other possibilities are that vitamin C could decrease cholesterol by mechanisms not well characterized, or could improve vasodilatation and vascular reactivity, perhaps by decreasing the interactions of nitric oxide with oxidants (PMID: 10799361). Moreover, ascorbic acid is found to be associated with hyperoxalemia, which is an inborn error of metabolism. Ascorbic acid is also a microbial metabolite produced by Ketogulonicigenium (PMID: 15785002).",quantified,176.1241,176.032087988,solid,"['amniotic fluid', 'blood', 'breast milk', 'cellular cytoplasm', 'cerebrospinal fluid (csf)', 'saliva', 'urine']",CIWBSHSKHKDKBQ-JLAZNSOCSA-N
5,HMDB0000048,melibiose,C12H22O11,"Melibiose (CAS: 585-99-9) is a disaccharide consisting of one galactose and one glucose moiety in an alpha (1-6) glycosidic linkage. This sugar is produced and metabolized only by enteric and lactic acid bacteria and other microbes, such as Dickeya dadantii, Escherichia, Leuconostoc, and Saccharomyces (PMID: 19734309, 28453942). It is not an endogenous metabolite but may be obtained from the consumption of partially fermented molasses, brown sugar, or honey. Antibodies to melibiose will appear in individuals affected by Chagas' disease (Trypanosoma cruzi infection). Melibiose is not metabolized by humans but can be broken down by gut microflora, such as E. coli. In fact, E. coli is able to utilize melibiose as a sole source of carbon. Melibiose is first imported by the melibiose permease, MelB and then converted into β-D-glucose and β-D-galactose by the α-galactosidase encoded by melA. Because of its poor digestibility, melibiose (along with rhamnose) can be used together for noninvasive intestinal mucosa barrier testing. This test can be used to assess malabsorption or impairment of intestinal permeability. Recent studies with dietary melibiose have shown that it can strongly affect the Th cell responses to an ingested antigen. It has been suggested that melibiose could be used to enhance the induction of oral tolerance (PMID: 17986780).",quantified,342.2965,342.116211546,solid,['urine'],DLRVVLDZNNYCBX-CQHUIXDMSA-N
6,HMDB0000068,epinephrine,C9H13NO3,"Epinephrine is a catecholamine, a sympathomimetic monoamine derived from the amino acids phenylalanine and tyrosine. It is the active sympathomimetic hormone secreted from the adrenal medulla in most species. It stimulates both the alpha- and beta- adrenergic systems, causes systemic vasoconstriction and gastrointestinal relaxation, stimulates the heart, and dilates bronchi and cerebral vessels. It is used in asthma and cardiac failure and to delay absorption of local anesthetics. Epinephrine also constricts arterioles in the skin and gut while dilating arterioles in leg muscles. It elevates the blood sugar level by increasing hydrolysis of glycogen to glucose in the liver, and at the same time begins the breakdown of lipids in adipocytes. Epinephrine has a suppressive effect on the immune system.",quantified,183.2044,183.089543287,solid,"['blood', 'cerebrospinal fluid (csf)', 'urine']",UCTWMZQNUQWSLP-VIFPVBQESA-N
7,HMDB0000073,dopamine,C8H11NO2,"Dopamine is a member of the catecholamine family of neurotransmitters in the brain and is a precursor to epinephrine (adrenaline) and norepinephrine (noradrenaline). Dopamine is synthesized in the body (mainly by nervous tissue and adrenal glands) first by the hydration of the amino acid tyrosine to DOPA by tyrosine hydroxylase and then by the decarboxylation of DOPA by aromatic-L-amino-acid decarboxylase. Dopamine is a major transmitter in the extrapyramidal system of the brain, and important in regulating movement. A family of receptors (dopamine receptors) mediates its action, which plays a major role in reward-motivated behaviour. Dopamine has many other functions outside the brain. In blood vessels, dopamine inhibits norepinephrine release and acts as a vasodilator (at normal concentrations); in the kidneys, it increases sodium excretion and urine output; in the pancreas, it reduces insulin production; in the digestive system, it reduces gastrointestinal motility and protects intestinal mucosa; and in the immune system, it reduces the activity of lymphocytes. Parkinson's disease, a degenerative condition causing tremor and motor impairment, is caused by a loss of dopamine-secreting neurons in an area of the midbrain called the substantia nigra. There is evidence that schizophrenia involves altered levels of dopamine activity, and most antipsychotic drugs used to treat this are dopamine antagonists, which reduce dopamine activity. Attention deficit hyperactivity disorder, bipolar disorder, and addiction are also characterized by defects in dopamine production or metabolism. It has been suggested that animals derived their dopamine-synthesizing machinery from bacteria via horizontal gene transfer that may have occurred relatively late in evolutionary time. This is perhaps a result of the symbiotic incorporation of bacteria into eukaryotic cells that gave rise to mitochondria. Dopamine is elevated in the urine of people who consume bananas. When present in sufficiently high levels, dopamine can be a neurotoxin and a metabotoxin. A neurotoxin is a compound that disrupts or attacks neural tissue. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. Chronically high levels of dopamine are associated with neuroblastoma, Costello syndrome, leukemia, phaeochromocytoma, aromatic L-amino acid decarboxylase deficiency, and Menkes disease (MNK). High levels of dopamine can lead to hyperactivity, insomnia, agitation and anxiety, depression, delusions, excessive salivation, nausea, and digestive problems. A study has shown that urinary dopamine is produced by Bacillus and Serratia (PMID: 24621061)",quantified,153.1784,153.078978601,solid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'urine']",VYFYYTLLBUKUHU-UHFFFAOYSA-N
8,HMDB0000087,dimethylamine,C2H7N,"Dimethylamine (DMA) is an organic secondary amine. It is a colorless, liquefied and flammable gas with an ammonia and fish-like odor. Dimethylamine is abundantly present in human urine. Main sources of urinary DMA have been reported to include trimethylamine N-oxide, a common food component, and asymmetric dimethylarginine (ADMA), an endogenous inhibitor of nitric oxide (NO) synthesis. ADMA is excreted in the urine in part unmetabolized and in part after hydrolysis to DMA by dimethylarginine dimethylaminohydrolase (DDAH). Statistically significant increases in urinary DMA have been found in individuals after the consumption of fish and seafoods. The highest values were obtained for individuals that consumed coley, squid and whiting with cod, haddock, sardine, skate and swordfish (PMID: 18282650). It has also been identified as a uremic toxin according to the European Uremic Toxin Working Group (PMID: 22626821). As a pure chemical substance Dimethylamine is used as dehairing agent in tanning, in dyes, in rubber accelerators, in soaps and cleaning compounds and as an agricultural fungicide. In the body, DMA also undergoes nitrosation under weak acid conditions to give dimethlynitrosamine. Study has shown that DMA is a metabolite of Arthrobacter and Micrococcus (PMID: 11422368 ; PMID: 7191).",quantified,45.0837,45.057849229,liquid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'saliva', 'sweat', 'urine']",ROSDSFDQCJNGOL-UHFFFAOYSA-N
9,HMDB0000108,ethanol,C2H6O,"Ethanol is a clear, colorless liquid rapidly absorbed from the gastrointestinal tract and distributed throughout the body. It has bactericidal activity and is used often as a topical disinfectant. It is widely used as a solvent and preservative in pharmaceutical preparations as well as serving as the primary ingredient in alcoholic beverages. Indeed, ethanol has widespread use as a solvent of substances intended for human contact or consumption, including scents, flavorings, colorings, and medicines. Ethanol has a depressive effect on the central nervous system and because of its psychoactive effects, it is considered a drug. Ethanol has a complex mode of action and affects multiple systems in the brain, most notably it acts as an agonist to the GABA receptors. Death from ethanol consumption is possible when blood alcohol level reaches 0.4%. A blood level of 0.5% or more is commonly fatal. Levels of even less than 0.1% can cause intoxication, with unconsciousness often occurring at 0.3-0.4 %. Ethanol is metabolized by the body as an energy-providing carbohydrate nutrient, as it metabolizes into acetyl CoA, an intermediate common with glucose metabolism, that can be used for energy in the citric acid cycle or for biosynthesis. Ethanol within the human body is converted into acetaldehyde by alcohol dehydrogenase and then into acetic acid by acetaldehyde dehydrogenase. The product of the first step of this breakdown, acetaldehyde, is more toxic than ethanol. Acetaldehyde is linked to most of the clinical effects of alcohol. It has been shown to increase the risk of developing cirrhosis of the liver,[77] multiple forms of cancer, and alcoholism. Industrially, ethanol is produced both as a petrochemical, through the hydration of ethylene, and biologically, by fermenting sugars with yeast. Small amounts of ethanol are endogenously produced by gut microflora through anaerobic fermentation. However most ethanol detected in biofluids and tissues likely comes from consumption of alcoholic beverages. Absolute ethanol or anhydrous alcohol generally refers to purified ethanol, containing no more than one percent water. Absolute alcohol is not intended for human consumption. It often contains trace amounts of toxic benzene (used to remove water by azeotropic distillation). Consumption of this form of ethanol can be fatal over a short time period. Generally absolute or pure ethanol is used as a solvent for lab and industrial settings where water will disrupt a desired reaction. Pure ethanol is classed as 200 proof in the USA and Canada, equivalent to 175 degrees proof in the UK system. Ethanol is a general biomarker for the consumption of alcohol. Ethanol is also a metabolite of Hansenula and Saccharomyces (PMID: 14613880) (https://ac.els-cdn.com/S0079635206800470/1-s2.0-S0079635206800470-main.pdf?_tid=4d340044-3230-4141-88dd-deec4d2e35bd&acdnat=1550288012_0c4a20fe963843426147979d376cf624).",quantified,46.0684,46.041864814,liquid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'saliva', 'sweat', 'urine']",LFQSCWFLJHTTHZ-UHFFFAOYSA-N
