,xrefs_inchikey,associated_pathways_kegg_map_id,associated_pathways_name,associated_pathways_type,associated_pathways_smpdb_id
0,WHBMMWSBFZVSSR-GSVOUGTGSA-N,,fatty acid biosynthesis,biolink:Pathway,SMP00456
0,WHBMMWSBFZVSSR-GSVOUGTGSA-N,map00072,ketone body metabolism,biolink:Pathway,SMP00071
0,WHBMMWSBFZVSSR-GSVOUGTGSA-N,,succinyl coa: 3-ketoacid coa transferase deficiency,biolink:Pathway,SMP00569
1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,,alkaptonuria,biolink:Pathway,SMP00169
1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,,disulfiram action pathway,biolink:Pathway,SMP00429
1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,,dopamine beta-hydroxylase deficiency,biolink:Pathway,SMP00498
1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,,hawkinsinuria,biolink:Pathway,SMP00190
1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,,monoamine oxidase-a deficiency (mao-a),biolink:Pathway,SMP00533
1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,map00350,tyrosine metabolism,biolink:Pathway,
1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,,tyrosinemia type i,biolink:Pathway,SMP00218
1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,,"tyrosinemia, transient, of the newborn",biolink:Pathway,SMP00494
2,FERIUCNNQQJTOY-UHFFFAOYSA-N,map00650,butyrate metabolism,biolink:Pathway,SMP00073
2,FERIUCNNQQJTOY-UHFFFAOYSA-N,,fatty acid biosynthesis,biolink:Pathway,SMP00456
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,map00520,amino sugar metabolism,biolink:Pathway,SMP00045
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,map00250,aspartate metabolism,biolink:Pathway,SMP00067
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,,canavan disease,biolink:Pathway,SMP00175
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,,disulfiram action pathway,biolink:Pathway,SMP00429
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,,ethanol degradation,biolink:Pathway,SMP00449
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,,fatty acid biosynthesis,biolink:Pathway,SMP00456
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,,"g(m2)-gangliosidosis: variant b, tay-sachs disease",biolink:Pathway,SMP00534
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,,heroin action pathway,biolink:Pathway,SMP00407
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,,heroin metabolism pathway,biolink:Pathway,SMP00623
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,,hypoacetylaspartia,biolink:Pathway,SMP00192
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,,leigh syndrome,biolink:Pathway,SMP00196
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,,"primary hyperoxaluria ii, ph2",biolink:Pathway,SMP00558
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,,pyruvate decarboxylase e1 component deficiency (pdhe1 deficiency),biolink:Pathway,SMP00334
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,,pyruvate dehydrogenase complex deficiency,biolink:Pathway,SMP00212
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,,pyruvate kinase deficiency,biolink:Pathway,SMP00559
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,map00620,pyruvate metabolism,biolink:Pathway,
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,,salla disease/infantile sialic acid storage disease,biolink:Pathway,SMP00240
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,,sialuria or french type sialuria,biolink:Pathway,SMP00216
3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,,tay-sachs disease,biolink:Pathway,SMP00390
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,alkaptonuria,biolink:Pathway,SMP00169
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,aromatic l-aminoacid decarboxylase deficiency,biolink:Pathway,SMP00170
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,carnitine synthesis,biolink:Pathway,SMP00465
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,disulfiram action pathway,biolink:Pathway,SMP00429
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,dopamine beta-hydroxylase deficiency,biolink:Pathway,SMP00498
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,hawkinsinuria,biolink:Pathway,SMP00190
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,monoamine oxidase-a deficiency (mao-a),biolink:Pathway,SMP00533
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,oxidation of branched chain fatty acids,biolink:Pathway,SMP00030
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,phytanic acid peroxisomal oxidation,biolink:Pathway,SMP00450
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,refsum disease,biolink:Pathway,SMP00451
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,the oncogenic action of fumarate,biolink:Pathway,SMP02295
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,the oncogenic action of succinate,biolink:Pathway,SMP02292
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,tyrosine hydroxylase deficiency,biolink:Pathway,SMP00497
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,map00350,tyrosine metabolism,biolink:Pathway,
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,map00350,tyrosine metabolism,biolink:Pathway,
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,tyrosinemia type i,biolink:Pathway,SMP00218
4,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,,"tyrosinemia, transient, of the newborn",biolink:Pathway,SMP00494
5,DLRVVLDZNNYCBX-CQHUIXDMSA-N,map00052,galactose metabolism,biolink:Pathway,SMP00043
5,DLRVVLDZNNYCBX-CQHUIXDMSA-N,,galactosemia,biolink:Pathway,SMP00182
6,UCTWMZQNUQWSLP-VIFPVBQESA-N,,alkaptonuria,biolink:Pathway,SMP00169
6,UCTWMZQNUQWSLP-VIFPVBQESA-N,,aromatic l-aminoacid decarboxylase deficiency,biolink:Pathway,SMP00170
6,UCTWMZQNUQWSLP-VIFPVBQESA-N,,disulfiram action pathway,biolink:Pathway,SMP00429
6,UCTWMZQNUQWSLP-VIFPVBQESA-N,,dopamine beta-hydroxylase deficiency,biolink:Pathway,SMP00498
6,UCTWMZQNUQWSLP-VIFPVBQESA-N,,epinephrine action pathway,biolink:Pathway,SMP00661
6,UCTWMZQNUQWSLP-VIFPVBQESA-N,,hawkinsinuria,biolink:Pathway,SMP00190
6,UCTWMZQNUQWSLP-VIFPVBQESA-N,,monoamine oxidase-a deficiency (mao-a),biolink:Pathway,SMP00533
6,UCTWMZQNUQWSLP-VIFPVBQESA-N,,tyrosine hydroxylase deficiency,biolink:Pathway,SMP00497
6,UCTWMZQNUQWSLP-VIFPVBQESA-N,map00350,tyrosine metabolism,biolink:Pathway,
6,UCTWMZQNUQWSLP-VIFPVBQESA-N,map00350,tyrosine metabolism,biolink:Pathway,
6,UCTWMZQNUQWSLP-VIFPVBQESA-N,,tyrosinemia type i,biolink:Pathway,SMP00218
