"id","name","microbe_id","species","kingdom","phylum","ncbi_tax_id","activity","gram","oxygen_requirement","created_at","updated_at","klass","order","family","genus","strain","metabolism","shape","mobility","flagella_presence","number_of_membranes","optimal_temperature","temperature_range","habitat","biotic_relationship","cell_arrangement","sporulation","energy_source","superkingdom","background","health_type","evidence_type","data_source","export","human_pathogen","genome_ids","parent_id","level"
2,"Micromonospora aurantiaca ATCC 27029","MMDBm0000002","Micromonospora aurantiaca",NULL,"Actinobacteria",644283,"Production (export)","Positive","Aerobe","2020-09-21 16:02:02.530340","2022-08-23 02:00:18.523311","Actinobacteria","Actinomycetales","Micromonosporaceae","Micromonospora","Micromonospora aurantiaca ATCC 27029","Polyisoprene rubber degrader","Bacilli","No","No",1,NULL,"Mesophilic","Multiple","Free living",NULL,"Sporulating",NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,275,NULL,NULL
3,"Acidaminococcus fermentans DSM 20731","MMDBm0000003","Acidaminococcus",NULL,"Firmicutes",591001,NULL,"Negative","Anaerobe","2020-09-25 23:53:13.046884","2022-08-14 18:30:56.538144","Negativicutes","Selenomonadales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus fermentans DSM 20731",NULL,"Cocci","No","No",2,NULL,"Mesophilic","Multiple","Free living",NULL,"Nonsporulating",NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,26,NULL,NULL
4,"Acidaminococcus intestini RyC-MR95","MMDBm0000004","Acidaminococcus intestini",NULL,"Firmicutes",568816,NULL,"Negative","Anaerobe","2020-09-25 23:53:13.055374","2022-08-14 18:30:56.551605","Negativicutes","Selenomonadales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus intestini RyC-MR95","Asaccharolytic, glutamate is fermented","Cocci",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,36,NULL,NULL
6,"Acinetobacter baumannii","MMDBm0000006","Acinetobacter baumannii",NULL,"Proteobacteria",470,NULL,NULL,NULL,"2020-09-25 23:53:13.068290","2022-08-25 23:58:10.471739","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1096,NULL,NULL
7,"Acinetobacter pittii ANC 4052","MMDBm0000007","Acinetobacter pittii",NULL,"Proteobacteria",1217689,NULL,"Negative","Aerobe","2020-09-25 23:53:13.074350","2022-08-31 19:30:51.357024","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter pittii ANC 4052","Asaccharolytic",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,2443,NULL,NULL
8,"Acinetobacter radioresistens NIPH 2130","MMDBm0000008","Acinetobacter radioresistens",NULL,"Proteobacteria",1217674,NULL,"Negative","Aerobe","2020-09-26 05:00:38.795095","2022-08-14 18:30:56.559793","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter radioresistens NIPH 2130","Asaccharolytic",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,37,NULL,NULL
9,"Adlercreutzia equolifaciens DSM 19450","MMDBm0000009","Adlercreutzia equolifaciens",NULL,"Actinobacteria",1384484,NULL,"Positive","Anaerobe","2020-09-26 05:00:38.804014","2022-08-14 18:30:56.568137","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia equolifaciens DSM 19450","Asaccharolytic, nonfermentative",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,55,NULL,NULL
10,"Aeromonas jandaei Riv2","MMDBm0000010","Aeromonas jandaei",NULL,"Proteobacteria",1458276,NULL,"Negative","Facultative anaerobe","2020-09-26 05:00:38.811805","2022-08-14 18:30:56.574257","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas jandaei Riv2","Saccharolytic, fermentative",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,57,NULL,NULL
11,"Aggregatibacter aphrophilus NJ8700","MMDBm0000011","Aggregatibacter aphrophilus",NULL,"Proteobacteria",634176,"Production (export)","Negative","Facultative","2020-09-26 05:00:38.818804","2022-08-14 18:30:56.580461","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","Aggregatibacter aphrophilus NJ8700","Respiratory","Bacilli","No","No",2,NULL,"Mesophilic","HostAssociated","Free living",NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,34,NULL,NULL
12,"Agrobacterium tumefaciens F2","MMDBm0000012","Agrobacterium tumefaciens",NULL,"Proteobacteria",1050720,NULL,"Negative","Aerobe","2020-09-26 05:00:38.826375","2022-08-14 18:30:56.587991","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium","Agrobacterium tumefaciens F2","Respiratory",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,18,NULL,NULL
14,"Akkermansia muciniphila","MMDBm0000014","Akkermansia muciniphila",NULL,"Verrucomicrobia",239935,NULL,NULL,"Anaerobe","2020-09-26 05:00:38.840888","2022-08-25 23:58:10.513502","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1343,NULL,NULL
15,"Akkermansia muciniphila ATCC BAA-835","MMDBm0000015","Akkermansia muciniphila",NULL,"Verrucomicrobia",349741,NULL,"Negative","Anaerobe","2020-09-26 05:00:38.848086","2022-08-14 18:30:56.594993","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila ATCC BAA-835","Saccharolytic, fermentative","Cocci","No","No",2,37,"Mesophilic","HostAssociated","Free living","Pairs - Singles","Pairs - Singles",NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,50,NULL,NULL
16,"Alcaligenes faecalis subsp. faecalis NBRC 13111","MMDBm0000016","Alcaligenes faecalis",NULL,"Proteobacteria",1218102,NULL,"Negative","Aerobe","2020-09-26 05:00:38.855044","2022-08-14 18:30:56.601406","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenes","Alcaligenes faecalis subsp. faecalis NBRC 13111","Respiratory",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,63,NULL,NULL
18,"Alistipes finegoldii DSM 17242","MMDBm0000018","Alistipes finegoldii",NULL,"Bacteroidetes",679935,NULL,"Negative","Anaerobe","2020-09-26 05:00:38.868372","2022-08-14 18:30:56.609083","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii DSM 17242","Saccharolytic, fermentative",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,9,NULL,NULL
19,"Alistipes shahii WAL 8301","MMDBm0000019","Alistipes shahii",NULL,"Bacteroidetes",717959,"Production (export)","Negative","Anaerobe","2020-09-26 05:00:38.875016","2022-08-14 18:30:56.616896","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii WAL 8301","Saccharolytic, fermentative",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,49,NULL,NULL
20,"Anaerococcus prevotii DSM 20548","MMDBm0000020","Anaerococcus prevotii",NULL,"Firmicutes",525919,NULL,"Positive","Anaerobe","2020-09-26 05:00:38.882546","2022-08-14 18:30:56.622713","Clostridia","Clostridiales","Clostridiales Family XI. Incertae Sedis","Anaerococcus","Anaerococcus prevotii DSM 20548",NULL,"Cocci","No","No",1,NULL,"Mesophilic","HostAssociated","Free living","Pairs","Pairs",NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,64,NULL,NULL
21,"Anaerostipes caccae","MMDBm0000021","Anaerostipes caccae",NULL,"Firmicutes",105841,NULL,NULL,"Anaerobe","2020-09-26 05:00:38.889669","2022-08-25 23:58:10.533455","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,1296,NULL,NULL
22,"Anaerostipes hadrus","MMDBm0000022","Anaerostipes hadrus",NULL,"Firmicutes",649756,NULL,NULL,"Anaerobe","2020-09-26 05:00:38.897394","2022-08-29 16:04:59.435957","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,2075,NULL,NULL
23,"Arcobacter butzleri RM4018","MMDBm0000023","Arcobacter butzleri",NULL,"Proteobacteria",367737,"Production (export)","Negative","Aerobe","2020-09-26 05:00:38.905409","2022-08-14 18:30:56.629651","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter","Arcobacter butzleri RM4018","Non-fermentative, asaccharolytic","Spirilla","No","Yes",2,NULL,"Mesophilic","Multiple","Free living","Singles - Chains","Singles - Chains",NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,45,NULL,NULL
24,"Bacillus altitudinis 41KF2b","MMDBm0000024","Bacillus altitudinis",NULL,"Firmicutes",1178544,NULL,"Positive","Facultative anaerobe","2020-09-26 05:00:38.913536","2022-08-29 16:04:59.452760","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus altitudinis 41KF2b","Respiration or fermentation of carbohydrates and central metabolism intermediates","Bacilli",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bacteria",NULL,NULL,NULL,NULL,1,NULL,2107,NULL,NULL
