word,label
como ,spanish
cuando ,spanish
tambien ,spanish
anos ,spanish
hasta,spanish
desde ,spanish
porque ,spanish
puede ,spanish
parte,spanish
donde ,spanish
tiempo ,spanish
mismo  ,spanish
cada ,spanish
despues ,spanish
otros,spanish
aunque ,spanish
hace ,spanish
gobierno,spanish
siempre ,spanish
tanto,spanish
segun ,spanish
menos  ,spanish
mundo  ,spanish
estado ,spanish
contra,spanish
caso ,spanish
nada ,spanish
general,spanish
estaba ,spanish
poco ,spanish
presidente,spanish
mayor ,spanish
unos ,spanish
casa ,spanish
hecho ,spanish
primera,spanish
mucho  ,spanish
ademas  ,spanish
momento  ,spanish
millones,spanish
espana ,spanish
hombre ,spanish
estan,spanish
pues ,spanish
madrid ,spanish
nacional,spanish
otras,spanish
nuevo ,spanish
decir,spanish
algunos ,spanish
entonces ,spanish
todas,spanish
debe ,spanish
politica,spanish
pasado ,spanish
medio ,spanish
nunca ,spanish
veces ,spanish
embargo ,spanish
partido,spanish
personas ,spanish
grupo,spanish
cuenta ,spanish
pueden ,spanish
tienen,spanish
misma  ,spanish
nueva ,spanish
mujer,spanish
frente,spanish
cosas ,spanish
social,spanish
manera ,spanish
tener,spanish
sistema ,spanish
historia,spanish
muchos  ,spanish
cuatro,spanish
dentro,spanish
nuestro,spanish
punto,spanish
cualquier,spanish
noche ,spanish
agua ,spanish
parece ,spanish
situacion,spanish
grandes ,spanish
ejemplo ,spanish
acuerdo ,spanish
usted,spanish
estados ,spanish
nadie,spanish
paises,spanish
horas,spanish
posible,spanish
importante,spanish
guerra,spanish
desarrollo,spanish
proceso ,spanish
realidad,spanish
cambio ,spanish
mano ,spanish
numero ,spanish
sociedad ,spanish
unas ,spanish
centro,spanish
padre,spanish
gente,spanish
final,spanish
cuerpo ,spanish
incluso,spanish
ultimo,spanish
madre ,spanish
modo ,spanish
problemas ,spanish
cinco,spanish
carlos,spanish
hombres ,spanish
muerte ,spanish
nombre ,spanish
algunas ,spanish
publico,spanish
mujeres ,spanish
siglo,spanish
todavia,spanish
meses  ,spanish
manana  ,spanish
esos ,spanish
nosotros,spanish
muchas  ,spanish
pueblo,spanish
problema ,spanish
derecho ,spanish
verdad,spanish
maria,spanish
unidos,spanish
podria,spanish
seria,spanish
junto,spanish
cabeza ,spanish
cuanto ,spanish
tierra,spanish
equipo,spanish
segundo ,spanish
director,spanish
cierto,spanish
casos ,spanish
manos  ,spanish
nivel,spanish
podia,spanish
familia,spanish
largo,spanish
partir,spanish
falta,spanish
llegar,spanish
propio,spanish
ministro,spanish
cosa ,spanish
primero,spanish
seguridad,spanish
hemos  ,spanish
trata,spanish
respecto,spanish
semana  ,spanish
varios,spanish
paso ,spanish
quienes ,spanish
proyecto,spanish
mercado ,spanish
mayoria ,spanish
pesetas ,spanish
orden,spanish
espanol ,spanish
buena ,spanish
aquella,spanish
programa ,spanish
palabras,spanish
internacional,spanish
esas ,spanish
segunda ,spanish
empresa ,spanish
puesto ,spanish
libro,spanish
politico,spanish
persona ,spanish
ultimos,spanish
ellas,spanish
total,spanish
tengo,spanish
espanola ,spanish
condiciones ,spanish
mexico ,spanish
fuerza,spanish
unico,spanish
accion,spanish
amor ,spanish
policia,spanish
puerta,spanish
zona ,spanish
sabe ,spanish
calle,spanish
interior,spanish
tampoco ,spanish
musica ,spanish
ningun,spanish
vista,spanish
campo  ,spanish
buen ,spanish
hubiera,spanish
saber,spanish
obras,spanish
ninos,spanish
presencia,spanish
tema ,spanish
dinero,spanish
comision ,spanish
antonio,spanish
servicio,spanish
ultima,spanish
ciento,spanish
estoy,spanish
hablar,spanish
minutos ,spanish
produccion ,spanish
camino ,spanish
fondo,spanish
direccion,spanish
papel,spanish
demas  ,spanish
barcelona,spanish
dado ,spanish
base ,spanish
capital,spanish
ambos  ,spanish
europa ,spanish
libertad,spanish
relaciones,spanish
espacio ,spanish
medios ,spanish
actual,spanish
poblacion,spanish
empresas  ,spanish
estudio,spanish
salud,spanish
servicios,spanish
haya ,spanish
principio,spanish
cultura,spanish
anterior,spanish
media ,spanish
mediante ,spanish
primeros,spanish
sector,spanish
imagen ,spanish
medida ,spanish
deben ,spanish
consejo ,spanish
personal,spanish
interes,spanish
julio,spanish
grupos ,spanish
miembros  ,spanish
ninguna ,spanish
existe,spanish
edad ,spanish
movimiento ,spanish
visto,spanish
llego,spanish
puntos ,spanish
actividad,spanish
bueno ,spanish
dificil,spanish
futuro,spanish
aquellos,spanish
nuevos ,spanish
nuestros,spanish
estaban ,spanish
posibilidad,spanish
sigue,spanish
cerca,spanish
resultados,spanish
educacion ,spanish
gonzalez ,spanish
capacidad ,spanish
efecto,spanish
necesario,spanish
valor,spanish
investigacion,spanish
figura,spanish
central,spanish
comunidad  ,spanish
necesidad ,spanish
serie,spanish
organizacion,spanish
nuevas ,spanish
calidad,spanish
economia ,spanish
caracter,spanish
estamos ,spanish
prensa ,spanish
control,spanish
sociales,spanish
militar,spanish
cabo ,spanish
fuerzas,spanish
congreso ,spanish
justicia,spanish
mundial ,spanish
dolares,spanish
juego,spanish
economica  ,spanish
politicos,spanish
duda ,spanish
recursos,spanish
publica,spanish
crisis,spanish
proximo ,spanish
tenemos ,spanish
decision,spanish
varias,spanish
popular,spanish
apenas ,spanish
epoca ,spanish
banco ,spanish
presente,spanish
menor ,spanish
quiero,spanish
resultado,spanish
television,spanish
encuentra ,spanish
gracias,spanish
ministerio,spanish
conjunto,spanish
defensa ,spanish
alguien,spanish
queda ,spanish
hacen ,spanish
pasa ,spanish
resto,spanish
causa ,spanish
seguir,spanish
cuya ,spanish
vamos ,spanish
estudios,spanish
derechos ,spanish
importancia,spanish
contrario,spanish
manuel ,spanish
garcia,spanish
apoyo ,spanish
habria,spanish
civil,spanish
miguel,spanish
pedro,spanish
partidos,spanish
libre,spanish
fuentes,spanish
administracion,spanish
comun  ,spanish
dejar,spanish
salir,spanish
comunicacion ,spanish
experiencia,spanish
demasiado  ,spanish
respuesta ,spanish
energia,spanish
izquierda,spanish
funcion,spanish
superior,spanish
naturaleza,spanish
podemos  ,spanish
union,spanish
especialmente ,spanish
domingo ,spanish
favor,spanish
cantidad,spanish
elecciones,spanish
productos ,spanish
espanoles ,spanish
conocer ,spanish
teatro,spanish
importantes,spanish
evitar,spanish
color,spanish
actividades,spanish
mesa ,spanish
decia,spanish
cuyo ,spanish
francisco,spanish
secretario,spanish
objeto,spanish
quiza,spanish
posicion,spanish
natural,spanish
elementos ,spanish
hubo ,spanish
objetivo,spanish
formas ,spanish
pueda ,spanish
blanco,spanish
mismos  ,spanish
lleva,spanish
economico  ,spanish
opinion,spanish
ayuda ,spanish
oficial,spanish
silencio,spanish
buenos ,spanish
pensar ,spanish
republica,spanish
sangre ,spanish
encuentro ,spanish
siquiera,spanish
autor,spanish
